season,date,home_team,away_team,home_goals,away_goals,result,source_file,home_team_official,away_team_official,expected_result,result_is_valid
2010-11,2011-01-03,Zaragoza,Sociedad,2,1,H,2010-11_SP1.csv,Real Zaragoza,Real Sociedad,H,True
2010-11,2011-01-08,La Coruna,Barcelona,0,4,A,2010-11_SP1.csv,Deportivo La Coruña,FC Barcelona,A,True
2010-11,2011-01-08,Malaga,Ath Bilbao,1,1,D,2010-11_SP1.csv,Málaga CF,Athletic Bilbao,D,True
2010-11,2011-01-08,Sociedad,Sevilla,2,3,A,2010-11_SP1.csv,Real Sociedad,Sevilla FC,A,True
2010-11,2011-01-09,Espanol,Zaragoza,4,0,H,2010-11_SP1.csv,RCD Espanyol,Real Zaragoza,H,True
2010-11,2011-01-09,Levante,Valencia,0,1,A,2010-11_SP1.csv,Levante UD,Valencia CF,A,True
2010-11,2011-01-09,Mallorca,Almeria,4,1,H,2010-11_SP1.csv,RCD Mallorca,UD Almería,H,True
2010-11,2011-01-09,Osasuna,Getafe,0,0,D,2010-11_SP1.csv,CA Osasuna,Getafe CF,D,True
2010-11,2011-01-09,Real Madrid,Villarreal,4,2,H,2010-11_SP1.csv,Real Madrid CF,Villarreal CF,H,True
2010-11,2011-01-09,Santander,Sp Gijon,1,1,D,2010-11_SP1.csv,Racing Santander,Sporting Gijón,D,True
2010-11,2011-01-10,Hercules,Ath Madrid,4,1,H,2010-11_SP1.csv,Hércules CF,Club Atlético de Madrid,H,True
2010-11,2011-01-15,Ath Bilbao,Santander,2,1,H,2010-11_SP1.csv,Athletic Bilbao,Racing Santander,H,True
2010-11,2011-01-15,Getafe,Sociedad,0,4,A,2010-11_SP1.csv,Getafe CF,Real Sociedad,A,True
2010-11,2011-01-15,Sevilla,Espanol,1,2,A,2010-11_SP1.csv,Sevilla FC,RCD Espanyol,A,True
2010-11,2011-01-15,Sp Gijon,Hercules,2,0,H,2010-11_SP1.csv,Sporting Gijón,Hércules CF,H,True
2010-11,2011-01-15,Villarreal,Osasuna,4,2,H,2010-11_SP1.csv,Villarreal CF,CA Osasuna,H,True
2010-11,2011-01-15,Zaragoza,Levante,1,0,H,2010-11_SP1.csv,Real Zaragoza,Levante UD,H,True
2010-11,2011-01-16,Almeria,Real Madrid,1,1,D,2010-11_SP1.csv,UD Almería,Real Madrid CF,D,True
2010-11,2011-01-16,Barcelona,Malaga,4,1,H,2010-11_SP1.csv,FC Barcelona,Málaga CF,H,True
2010-11,2011-01-16,Valencia,La Coruna,2,0,H,2010-11_SP1.csv,Valencia CF,Deportivo La Coruña,H,True
2010-11,2011-01-17,Ath Madrid,Mallorca,3,0,H,2010-11_SP1.csv,Club Atlético de Madrid,RCD Mallorca,H,True
2010-11,2011-01-22,Barcelona,Santander,3,0,H,2010-11_SP1.csv,FC Barcelona,Racing Santander,H,True
2010-11,2011-01-22,Sevilla,Levante,4,1,H,2010-11_SP1.csv,Sevilla FC,Levante UD,H,True
2010-11,2011-01-22,Valencia,Malaga,4,3,H,2010-11_SP1.csv,Valencia CF,Málaga CF,H,True
2010-11,2011-01-23,Almeria,Osasuna,3,2,H,2010-11_SP1.csv,UD Almería,CA Osasuna,H,True
2010-11,2011-01-23,Getafe,Espanol,1,3,A,2010-11_SP1.csv,Getafe CF,RCD Espanyol,A,True
2010-11,2011-01-23,Real Madrid,Mallorca,1,0,H,2010-11_SP1.csv,Real Madrid CF,RCD Mallorca,H,True
2010-11,2011-01-23,Sp Gijon,Ath Madrid,1,0,H,2010-11_SP1.csv,Sporting Gijón,Club Atlético de Madrid,H,True
2010-11,2011-01-23,Villarreal,Sociedad,2,1,H,2010-11_SP1.csv,Villarreal CF,Real Sociedad,H,True
2010-11,2011-01-23,Zaragoza,La Coruna,1,0,H,2010-11_SP1.csv,Real Zaragoza,Deportivo La Coruña,H,True
2010-11,2011-01-24,Ath Bilbao,Hercules,3,0,H,2010-11_SP1.csv,Athletic Bilbao,Hércules CF,H,True
2010-11,2011-01-29,Hercules,Barcelona,0,3,A,2010-11_SP1.csv,Hércules CF,FC Barcelona,A,True
2010-11,2011-01-29,La Coruna,Sevilla,3,3,D,2010-11_SP1.csv,Deportivo La Coruña,Sevilla FC,D,True
2010-11,2011-01-29,Levante,Getafe,2,0,H,2010-11_SP1.csv,Levante UD,Getafe CF,H,True
2010-11,2011-01-29,Malaga,Zaragoza,1,2,A,2010-11_SP1.csv,Málaga CF,Real Zaragoza,A,True
2010-11,2011-01-29,Mallorca,Sp Gijon,0,4,A,2010-11_SP1.csv,RCD Mallorca,Sporting Gijón,A,True
2010-11,2011-01-29,Sociedad,Almeria,2,0,H,2010-11_SP1.csv,Real Sociedad,UD Almería,H,True
2010-11,2011-01-30,Ath Madrid,Ath Bilbao,0,2,A,2010-11_SP1.csv,Club Atlético de Madrid,Athletic Bilbao,A,True
2010-11,2011-01-30,Espanol,Villarreal,0,1,A,2010-11_SP1.csv,RCD Espanyol,Villarreal CF,A,True
2010-11,2011-01-30,Osasuna,Real Madrid,1,0,H,2010-11_SP1.csv,CA Osasuna,Real Madrid CF,H,True
2010-11,2011-01-31,Santander,Valencia,1,1,D,2010-11_SP1.csv,Racing Santander,Valencia CF,D,True
2010-11,2011-02-05,Almeria,Espanol,3,2,H,2010-11_SP1.csv,UD Almería,RCD Espanyol,H,True
2010-11,2011-02-05,Ath Bilbao,Sp Gijon,3,0,H,2010-11_SP1.csv,Athletic Bilbao,Sporting Gijón,H,True
2010-11,2011-02-05,Barcelona,Ath Madrid,3,0,H,2010-11_SP1.csv,FC Barcelona,Club Atlético de Madrid,H,True
2010-11,2011-02-05,Getafe,La Coruna,4,1,H,2010-11_SP1.csv,Getafe CF,Deportivo La Coruña,H,True
2010-11,2011-02-05,Osasuna,Mallorca,1,1,D,2010-11_SP1.csv,CA Osasuna,RCD Mallorca,D,True
2010-11,2011-02-05,Villarreal,Levante,0,1,A,2010-11_SP1.csv,Villarreal CF,Levante UD,A,True
2010-11,2011-02-05,Zaragoza,Santander,1,1,D,2010-11_SP1.csv,Real Zaragoza,Racing Santander,D,True
2010-11,2011-02-06,Real Madrid,Sociedad,4,1,H,2010-11_SP1.csv,Real Madrid CF,Real Sociedad,H,True
2010-11,2011-02-06,Sevilla,Malaga,0,0,D,2010-11_SP1.csv,Sevilla FC,Málaga CF,D,True
2010-11,2011-02-06,Valencia,Hercules,2,0,H,2010-11_SP1.csv,Valencia CF,Hércules CF,H,True
2010-11,2011-02-12,Ath Madrid,Valencia,1,2,A,2010-11_SP1.csv,Club Atlético de Madrid,Valencia CF,A,True
